seg,dem,orden
2,8544.239258,8655.427734
4,8538.705078,8655.117188
6,8556.333008,8650.758789
8,8563.195313,8649.875
10,8559.34375,8649.875
12,8559.34375,8649.59668
14,8569.733398,8649.186523
16,8559.599609,8647.648438
18,8553.214844,8647.648438
20,8553.214844,8643.085938
22,8548.369141,8642.651367
24,8564.248047,8642.651367
26,8561.488281,8642.574219
28,8561.488281,8641.459961
30,8564.28125,8641.459961
32,8564.28125,8640.117188
34,8579.81543,8635.058594
36,8585.348633,8633.87793
38,8581.591797,8633.640625
40,8581.591797,8633.640625
42,8562.455078,8633.152344
44,8570.398438,8631.500977
46,8570.398438,8630.436523
48,8565.125,8630.436523
50,8566.089844,8629.785156
52,8566.089844,8629.367188
54,8558.467773,8629.367188
56,8558.291992,8629.142578
58,8546.794922,8628.886719
60,8546.794922,8628.601563
62,8550.702148,8627.952148
64,8545.228516,8626.901367
66,8552.415039,8624.579102
68,8546.800781,8622.000977
70,8544.573242,8622.000977
72,8542.234375,8621.797852
74,8547.642578,8621.59668
76,8538.144531,8621.59668
78,8534.609375,8619.166016
80,8532.835938,8619.166016
82,8533.15625,8618.936523
84,8527.322266,8618.936523
86,8516.320313,8618.916016
88,8516.320313,8618.660156
90,8529.661133,8617.003906
92,8529.661133,8616.564453
94,8535.317383,8615.428711
96,8541.083008,8614.454102
98,8582.324219,8614.454102
100,8581.623047,8613.633789
102,8581.012695,8613.125
104,8578.819336,8612.984375
106,8579.320313,8612.78125
108,8583.029297,8612.78125
110,8584.898438,8612.654297
112,8583.503906,8612.548828
114,8586.954102,8612.267578
116,8586.954102,8611.425781
118,8586.830078,8611.304688
120,8592.160156,8611.230469
122,8599.198242,8611.230469
124,8589.569336,8610.253906
126,8589.569336,8608.15625
128,8578.464844,8608.15625
130,8584.168945,8607.792969
132,8580.641602,8607.505859
134,8577.951172,8607.292969
136,8577.951172,8607.292969
138,8574.720703,8606.760742
140,8564.638672,8606.378906
142,8564.638672,8605.826172
144,8566.227539,8605.758789
146,8557.291992,8605.609375
148,8557.291992,8605.328125
150,8578.53125,8605.150391
152,8575.165039,8604.890625
154,8575.165039,8604.890625
156,8576.623047,8604.789063
158,8576.738281,8604.420898
160,8576.738281,8604.420898
162,8571.473633,8604.05957
164,8571.473633,8604.05957
166,8548.74707,8604.023438
168,8551.775391,8603.759766
170,8549.994141,8603.759766
172,8543.564453,8603.640625
174,8543.564453,8603.640625
176,8548.416016,8603.320313
178,8548.416016,8603.320313
180,8559.539063,8602.75
182,8559.539063,8602.75
184,8554.157227,8602.243164
186,8553.462891,8602.112305
188,8559.383789,8601.836914
190,8559.383789,8601.496094
192,8557.188477,8601.408203
194,8552.404297,8601.160156
196,8554.545898,8600.8125
198,8554.545898,8600.8125
200,8550.758789,8600.379883
202,8550.608398,8600.262695
204,8543.251953,8599.425781
206,8548.920898,8599.425781
208,8548.920898,8599.198242
210,8542.069336,8598.286133
212,8559.908203,8597.485352
214,8559.908203,8597.485352
216,8569.581055,8597.196289
218,8580.199219,8597.189453
220,8590.179688,8597.189453
222,8602.243164,8597.136719
224,8599.425781,8597.097656
226,8599.425781,8597.097656
228,8597.196289,8597.044922
230,8593.317383,8596.736328
232,8594.225586,8596.472656
234,8597.189453,8596.433594
236,8597.189453,8596.433594
238,8577.495117,8596.086914
240,8577.044922,8596.086914
242,8577.044922,8596.040039
244,8604.789063,8596.040039
246,8597.136719,8595.411133
248,8606.760742,8595.411133
250,8596.472656,8595.277344
252,8590.576172,8595.0625
254,8590.576172,8594.386719
256,8583.255859,8594.386719
258,8591.047852,8594.225586
260,8605.150391,8594.126953
262,8601.836914,8594.126953
264,8604.420898,8593.317383
266,8604.420898,8592.573242
268,8597.485352,8592.160156
270,8597.485352,8591.832031
272,8605.758789,8591.113281
274,8594.126953,8591.047852
276,8594.126953,8590.576172
278,8601.160156,8590.576172
280,8591.113281,8590.179688
282,8595.0625,8590.037109
284,8595.411133,8589.569336
286,8595.411133,8589.569336
288,8583.336914,8588.612305
290,8583.336914,8588.09668
292,8586.570313,8587.894531
294,8618.660156,8587.311523
296,8618.936523,8586.954102
298,8618.936523,8586.954102
300,8605.826172,8586.830078
302,8642.574219,8586.570313
304,8649.59668,8585.884766
306,8649.875,8585.884766
308,8649.875,8585.870117
310,8655.427734,8585.633789
312,8649.186523,8585.633789
314,8655.117188,8585.348633
316,8631.500977,8584.959961
318,8633.152344,8584.898438
320,8641.459961,8584.168945
322,8641.459961,8583.503906
324,8650.758789,8583.336914
326,8643.085938,8583.336914
328,8635.058594,8583.255859
330,8629.785156,8583.029297
332,8629.142578,8582.874023
334,8628.601563,8582.874023
336,8628.886719,8582.40625
338,8633.640625,8582.324219
340,8633.640625,8582.311523
342,8633.87793,8582.311523
344,8616.564453,8581.623047
346,8618.916016,8581.611328
348,8617.003906,8581.591797
350,8624.579102,8581.591797
352,8629.367188,8581.166016
354,8629.367188,8581.166016
356,8627.952148,8581.012695
358,8630.436523,8580.641602
360,8630.436523,8580.598633
362,8647.648438,8580.598633
364,8647.648438,8580.199219
366,8640.117188,8579.81543
368,8642.651367,8579.582031
370,8642.651367,8579.452148
372,8621.59668,8579.320313
374,8621.59668,8579.192383
376,8576.765625,8578.895508
378,8566.625977,8578.819336
380,8566.625977,8578.767578
382,8568.302734,8578.53125
384,8568.302734,8578.464844
386,8569.773438,8578.053711
388,8557.523438,8577.951172
390,8551.038086,8577.951172
392,8551.755859,8577.495117
394,8550.545898,8577.044922
396,8557.306641,8577.044922
398,8557.306641,8576.765625
400,8555.740234,8576.738281
402,8538.967773,8576.738281
404,8545.300781,8576.623047
406,8545.300781,8575.495117
408,8546.265625,8575.375
410,8554.908203,8575.165039
412,8553.587891,8575.165039
414,8558.786133,8574.720703
416,8558.786133,8574.419922
418,8547.544922,8573.564453
420,8547.544922,8573.109375
422,8545.267578,8573.109375
424,8550.750977,8571.473633
426,8544.606445,8571.473633
428,8514.668945,8571.410156
430,8506.200195,8571.410156
432,8506.200195,8570.398438
434,8499.988281,8570.398438
436,8532.282227,8570.206055
438,8547.902344,8570.206055
440,8544.419922,8569.773438
442,8537.181641,8569.733398
444,8537.181641,8569.581055
446,8547.351563,8569.390625
448,8547.599609,8569.390625
450,8549.211914,8569.296875
452,8545.849609,8569.296875
454,8548.427734,8569.161133
456,8552.973633,8568.867188
458,8556.027344,8568.75
460,8556.027344,8568.75
462,8552.728516,8568.544922
464,8538.274414,8568.302734
466,8538.274414,8568.302734
468,8532.148438,8568.145508
470,8526.317383,8568.058594
472,8526.317383,8567.77832
474,8533.299805,8567.264648
476,8533.299805,8566.625977
478,8529.942383,8566.625977
480,8529.942383,8566.601563
482,8529.509766,8566.601563
484,8497.814453,8566.575195
486,8497.814453,8566.227539
488,8486.28418,8566.089844
490,8477.795898,8566.089844
492,8470.587891,8565.125
494,8461.492188,8564.638672
496,8461.873047,8564.638672
498,8464.460938,8564.530273
500,8463.601563,8564.530273
502,8463.601563,8564.287109
504,8465.089844,8564.28125
506,8465.089844,8564.28125
508,8450.438477,8564.248047
510,8450.438477,8563.425781
512,8461.079102,8563.425781
514,8468.306641,8563.195313
516,8468.306641,8562.56543
518,8465.027344,8562.455078
520,8457.90332,8561.555664
522,8455.158203,8561.488281
524,8455.158203,8561.488281
526,8449.183594,8560.955078
528,8449.183594,8560.955078
530,8447.240234,8560.74707
532,8450.389648,8560.514648
534,8450.389648,8560.514648
536,8459.129883,8559.908203
538,8480.110352,8559.908203
540,8479.076172,8559.716797
542,8486.359375,8559.599609
544,8486.359375,8559.539063
546,8478.996094,8559.539063
548,8469.738281,8559.383789
550,8473.303711,8559.383789
552,8470.525391,8559.34375
554,8470.525391,8559.34375
556,8478.007813,8559.292969
558,8483.376953,8559.292969
560,8480.158203,8558.786133
562,8480.158203,8558.786133
564,8489.443359,8558.467773
566,8487.344727,8558.291992
568,8524.600586,8557.523438
570,8524.600586,8557.306641
572,8523.100586,8557.306641
574,8527.626953,8557.291992
576,8527.626953,8557.291992
578,8537.125977,8557.188477
580,8543.417969,8556.333008
582,8542.804688,8556.25
584,8545.283203,8556.249023
586,8529.681641,8556.027344
588,8532.383789,8556.027344
590,8529.998047,8555.853516
592,8531.583984,8555.740234
594,8529.768555,8555.490234
596,8529.768555,8554.908203
598,8528.162109,8554.90625
600,8528.162109,8554.90625
602,8530.266602,8554.545898
604,8526.386719,8554.545898
606,8525.466797,8554.183594
608,8527.625,8554.157227
610,8527.625,8554.091797
612,8528.899414,8553.587891
614,8534.819336,8553.462891
616,8531.504883,8553.214844
618,8535.317383,8553.214844
620,8532.754883,8552.973633
622,8532.754883,8552.826172
624,8530.431641,8552.728516
626,8533.017578,8552.415039
628,8543.038086,8552.404297
630,8543.038086,8552.256836
632,8541.849609,8552.076172
634,8551.795898,8552.032227
636,8543.359375,8551.796875
638,8544.139648,8551.795898
640,8544.139648,8551.775391
642,8542.625,8551.755859
644,8540.279297,8551.555664
646,8529.554688,8551.555664
648,8529.554688,8551.082031
650,8536.060547,8551.038086
652,8546.263672,8550.826172
654,8539.660156,8550.826172
656,8539.660156,8550.758789
658,8545.96582,8550.750977
660,8538.146484,8550.702148
662,8536.323242,8550.648438
664,8536.323242,8550.648438
666,8541.396484,8550.608398
668,8529.897461,8550.545898
670,8510.948242,8550.293945
672,8510.948242,8549.994141
674,8518.073242,8549.796875
676,8517.813477,8549.211914
678,8515.320313,8548.920898
680,8515.320313,8548.920898
682,8512.859375,8548.74707
684,8512.859375,8548.427734
686,8515.946289,8548.416016
688,8515.946289,8548.416016
690,8521.28125,8548.369141
692,8517.30957,8548.103516
694,8513.396484,8548.103516
696,8522.964844,8547.953125
698,8529.208984,8547.953125
700,8526.97168,8547.902344
702,8522.327148,8547.642578
704,8522.327148,8547.599609
706,8514.241211,8547.544922
708,8518.086914,8547.544922
710,8517.708984,8547.454102
712,8507.540039,8547.444336
714,8507.742188,8547.444336
716,8498.146484,8547.379883
718,8500.388672,8547.379883
720,8494.088867,8547.351563
722,8479.364258,8547.022461
724,8481.166016,8547.022461
726,8478.337891,8546.800781
728,8490.453125,8546.794922
730,8490.453125,8546.794922
732,8483.821289,8546.461914
734,8484.035156,8546.265625
736,8491.572266,8546.263672
738,8487.505859,8546.098633
740,8487.505859,8546.080078
742,8486.763672,8545.96582
744,8479.607422,8545.849609
746,8476.516602,8545.300781
748,8473.460938,8545.300781
750,8473.460938,8545.283203
752,8485.086914,8545.267578
754,8489.036133,8545.233398
756,8478.0625,8545.228516
758,8492.696289,8544.886719
760,8493.779297,8544.886719
762,8493.779297,8544.606445
764,8494.088867,8544.573242
766,8496.969727,8544.419922
768,8496.969727,8544.239258
770,8493.276367,8544.200195
772,8493.276367,8544.139648
774,8487.78418,8544.139648
776,8478.890625,8543.737305
778,8483.922852,8543.564453
780,8497.411133,8543.564453
782,8494.78418,8543.423828
784,8494.78418,8543.417969
786,8491.696289,8543.359375
788,8505.44043,8543.251953
790,8505.44043,8543.164063
792,8503.397461,8543.038086
794,8503.397461,8543.038086
796,8497.157227,8542.897461
798,8492.889648,8542.897461
800,8502.176758,8542.804688
802,8502.176758,8542.625
804,8496.701172,8542.311523
806,8515.517578,8542.311523
808,8515.517578,8542.234375
810,8528.723633,8542.069336
812,8528.723633,8541.916992
814,8535.671875,8541.849609
816,8516.833008,8541.396484
818,8528.894531,8541.360352
820,8566.601563,8541.360352
822,8566.601563,8541.083008
824,8552.256836,8541.044922
826,8556.249023,8541.044922
828,8575.495117,8541.011719
830,8587.894531,8541.011719
832,8588.09668,8540.714844
834,8584.959961,8540.668945
836,8585.870117,8540.668945
838,8588.612305,8540.279297
840,8585.633789,8540.167969
842,8585.633789,8540.111328
844,8582.40625,8539.746094
846,8575.375,8539.693359
848,8590.037109,8539.660156
850,8582.874023,8539.660156
852,8582.874023,8538.967773
854,8597.097656,8538.894531
856,8597.097656,8538.891602
858,8604.05957,8538.705078
860,8604.05957,8538.511719
862,8602.112305,8538.511719
864,8596.086914,8538.274414
866,8596.086914,8538.274414
868,8591.832031,8538.146484
870,8602.75,8538.144531
872,8602.75,8537.949219
874,8604.023438,8537.949219
876,8612.984375,8537.870117
878,8612.654297,8537.647461
880,8605.328125,8537.473633
882,8606.378906,8537.473633
884,8598.286133,8537.397461
886,8603.759766,8537.181641
888,8603.759766,8537.181641
890,8585.884766,8537.125977
892,8585.884766,8536.949219
894,8536.949219,8536.949219
896,8536.949219,8536.742188
898,8530.416992,8536.742188
900,8530.612305,8536.539063
902,8530.612305,8536.539063
904,8518.482422,8536.323242
906,8534.573242,8536.323242
908,8534.742188,8536.060547
910,8533.435547,8535.671875
912,8525.849609,8535.445313
914,8525.849609,8535.445313
916,8524.966797,8535.317383
918,8512.363281,8535.317383
920,8493.901367,8534.819336
922,8503.686523,8534.742188
924,8503.686523,8534.609375
926,8511.009766,8534.573242
928,8495.839844,8534.478516
930,8485.923828,8534.478516
932,8505.407227,8534.012695
934,8511.833984,8533.558594
936,8517.424805,8533.435547
938,8517.424805,8533.299805
940,8521.96582,8533.299805
942,8534.012695,8533.253906
944,8518.702148,8533.253906
946,8522.595703,8533.15625
948,8525.145508,8533.017578
950,8520.043945,8532.835938
952,8520.043945,8532.754883
954,8524.364258,8532.754883
956,8525.983398,8532.739258
958,8536.742188,8532.739258
960,8536.742188,8532.470703
962,8537.473633,8532.383789
964,8537.473633,8532.282227
966,8531.354492,8532.148438
968,8536.539063,8532.103516
970,8536.539063,8531.986328
972,8552.032227,8531.936523
974,8542.311523,8531.8125
976,8542.311523,8531.756836
978,8540.668945,8531.583984
980,8540.668945,8531.573242
982,8545.233398,8531.573242
984,8555.490234,8531.557617
986,8555.853516,8531.504883
988,8561.555664,8531.354492
990,8559.716797,8531.314453
992,8560.955078,8530.771484
994,8560.955078,8530.717773
996,8563.425781,8530.612305
998,8563.425781,8530.612305
1000,8554.091797,8530.431641
