seg,dia_ver,dia_inv,d_ver_ord,d_inv_ord
0,8544.239258,6029.09082,8655.427734,6037.630371
2,8538.705078,6037.630371,8655.117188,6029.09082
4,8556.333008,6025.855469,8650.758789,6025.855469
6,8563.195313,6022.599609,8649.875,6022.599609
8,8559.34375,6020.984375,8649.875,6021.845703
10,8559.34375,6021.845703,8649.59668,6021.727539
12,8569.733398,6018.464844,8649.186523,6021.368652
14,8559.599609,6014.197754,8647.648438,6021.226074
16,8553.214844,6016.564453,8647.648438,6021.116211
18,8553.214844,6013.708984,8643.085938,6021.101074
20,8548.369141,6021.116211,8642.651367,6020.984375
22,8564.248047,6007.732422,8642.651367,6020.621094
24,8561.488281,6014.160156,8642.574219,6019.822266
26,8561.488281,6019.291016,8641.459961,6019.68457
28,8564.28125,6014.165039,8641.459961,6019.291016
30,8564.28125,6011.710938,8640.117188,6019.28418
32,8579.81543,6003.614746,8635.058594,6018.854492
34,8585.348633,6003.614746,8633.87793,6018.577148
36,8581.591797,6009.856445,8633.640625,6018.464844
38,8581.591797,6009.79248,8633.640625,6018.258789
40,8562.455078,6015.472656,8633.152344,6017.614746
42,8570.398438,6017.013672,8631.500977,6017.013672
44,8570.398438,6018.258789,8630.436523,6016.786133
46,8565.125,6019.68457,8630.436523,6016.564453
48,8566.089844,6015.566406,8629.785156,6016.51709
50,8566.089844,6014.649414,8629.367188,6015.566406
52,8558.467773,6015.182617,8629.367188,6015.472656
54,8558.291992,6018.577148,8629.142578,6015.182617
56,8546.794922,6011.632324,8628.886719,6014.649414
58,8546.794922,6011.203125,8628.601563,6014.197754
60,8550.702148,6012.004883,8627.952148,6014.165039
62,8545.228516,6019.822266,8626.901367,6014.160156
64,8552.415039,6021.368652,8624.579102,6013.708984
66,8546.800781,6017.614746,8622.000977,6012.004883
68,8544.573242,6019.28418,8622.000977,6011.710938
70,8542.234375,6020.621094,8621.797852,6011.632324
72,8547.642578,6016.51709,8621.59668,6011.548828
74,8538.144531,6021.727539,8621.59668,6011.203125
76,8534.609375,6018.854492,8619.166016,6010.317383
78,8532.835938,6016.786133,8619.166016,6010.265625
80,8533.15625,6021.101074,8618.936523,6009.860352
82,8527.322266,6021.226074,8618.936523,6009.856445
84,8516.320313,6010.317383,8618.916016,6009.79248
86,8516.320313,6008.556641,8618.660156,6009.765137
