muestras,anio,fecha,hora_inicio,hora_fin,dema_int,dem_inst,aniomovil
1,2017,01-sep,0,1,6872.013385,6976.172363,1
2,2017,01-sep,1,2,6660.573651,6709.388672,1
3,2017,01-sep,2,3,6504.232961,6568.01709,1
4,2017,01-sep,3,4,6435.836442,6502.294434,1
5,2017,01-sep,4,5,6437.741557,6384.402344,1
6,2017,01-sep,5,6,6520.068903,6426.338379,1
7,2017,01-sep,6,7,6879.321252,6600.442383,1
8,2017,01-sep,7,8,7312.121555,7122.660156,1
9,2017,01-sep,8,9,7607.777175,7421.09082,1
10,2017,01-sep,9,10,7853.604396,7789.145508,1
11,2017,01-sep,10,11,7950.773802,7868.993652,1
12,2017,01-sep,11,12,8031.550572,8070.657227,1
13,2017,01-sep,12,13,8104.972262,8078.395508,1
14,2017,01-sep,13,14,8125.824147,8168.154297,1
15,2017,01-sep,14,15,8071.031945,8129.143555,1
16,2017,01-sep,15,16,8045.984608,7951.537598,1
17,2017,01-sep,16,17,8053.916788,8055.689453,1
18,2017,01-sep,17,18,7886.749222,8049.655273,1
19,2017,01-sep,18,19,7572.385483,7661.959961,1
20,2017,01-sep,19,20,7410.154346,7443.925781,1
21,2017,01-sep,20,21,7843.120252,7500.266113,1
22,2017,01-sep,21,22,7858.391412,7981.366699,1
23,2017,01-sep,22,23,7570.684273,7702.476074,1
24,2017,01-sep,23,24,7220.217254,7373.834961,1
25,2017,02-sep,0,1,6801.414969,7021.10791,1
26,2017,02-sep,1,2,6515.429587,6687.944336,1
27,2017,02-sep,2,3,6391.574179,6392.645996,1
28,2017,02-sep,3,4,6286.186462,6339.420898,1
29,2017,02-sep,4,5,6298.626584,6372.075195,1
30,2017,02-sep,5,6,6352.661065,6368.790039,1
31,2017,02-sep,6,7,6526.951614,6354.477539,1
32,2017,02-sep,7,8,6881.433123,6688.693848,1
33,2017,02-sep,8,9,7169.655002,6871.120605,1
34,2017,02-sep,9,10,7566.486768,7469.342773,1
35,2017,02-sep,10,11,7689.583764,7688.833496,1
36,2017,02-sep,11,12,7755.954239,7716.441895,1
37,2017,02-sep,12,13,7809.102945,7801.166016,1
38,2017,02-sep,13,14,7751.845546,7841.749023,1
39,2017,02-sep,14,15,7584.485632,7682.837891,1
40,2017,02-sep,15,16,7468.424876,7494.652344,1
41,2017,02-sep,16,17,7388.576464,7228.19043,1
42,2017,02-sep,17,18,7311.779847,7409.183594,1
43,2017,02-sep,18,19,7159.147812,7085.255371,1
44,2017,02-sep,19,20,7142.055245,7212.331055,1
45,2017,02-sep,20,21,7674.181836,7329.884277,1
46,2017,02-sep,21,22,7736.507306,7829.774414,1
47,2017,02-sep,22,23,7332.068688,7666.485352,1
48,2017,02-sep,23,24,6911.479585,7114.611816,1
49,2017,03-sep,0,1,6494.04609,6688.728516,1
50,2017,03-sep,1,2,6174.47391,6362.562012,1
51,2017,03-sep,2,3,5944.629533,6102.625977,1
52,2017,03-sep,3,4,5883.33217,5939.574219,1
53,2017,03-sep,4,5,5833.719224,5752.927246,1
54,2017,03-sep,5,6,5841.857053,5839.769531,1
55,2017,03-sep,6,7,5857.400875,5762.539551,1
56,2017,03-sep,7,8,5835.856882,5833.936523,1
57,2017,03-sep,8,9,5826.385688,5697.256836,1
58,2017,03-sep,9,10,6084.047333,5910.07373,1
59,2017,03-sep,10,11,6287.566367,6267.181152,1
60,2017,03-sep,11,12,6343.370312,6280.960938,1
61,2017,03-sep,12,13,6338.349185,6288.041504,1
62,2017,03-sep,13,14,6304.458138,6355.23877,1
63,2017,03-sep,14,15,6341.70251,6360.637695,1
64,2017,03-sep,15,16,6293.065544,6281.299316,1
65,2017,03-sep,16,17,6289.145404,6206.253906,1
66,2017,03-sep,17,18,6304.605423,6296.228516,1
67,2017,03-sep,18,19,6268.5373,6323.969727,1
68,2017,03-sep,19,20,6412.050433,6188.530273,1
69,2017,03-sep,20,21,7069.330769,6694.808594,1
70,2017,03-sep,21,22,7190.75982,7342.422363,1
71,2017,03-sep,22,23,6820.444855,6971.138672,1
72,2017,03-sep,23,24,6438.498031,6690.784668,1
73,2017,04-sep,0,1,6072.542379,6178.350586,1
74,2017,04-sep,1,2,5858.726409,5963.507813,1
75,2017,04-sep,2,3,5712.719721,5656.274902,1
76,2017,04-sep,3,4,5700.918432,5720.129883,1
77,2017,04-sep,4,5,5750.715171,5633.708984,1
78,2017,04-sep,5,6,5865.609392,5888.11084,1
79,2017,04-sep,6,7,6506.508081,6008.646973,1
80,2017,04-sep,7,8,7150.320578,6929.881836,1
81,2017,04-sep,8,9,7431.575917,7244.025391,1
82,2017,04-sep,9,10,7806.443453,7637.367188,1
83,2017,04-sep,10,11,7946.440929,7948.096191,1
84,2017,04-sep,11,12,8064.249252,7919.986816,1
85,2017,04-sep,12,13,8189.872907,8092.131836,1
86,2017,04-sep,13,14,8213.42719,8278.126953,1
87,2017,04-sep,14,15,8127.470253,8039.730469,1
88,2017,04-sep,15,16,8161.076209,8094.552246,1
89,2017,04-sep,16,17,8178.613016,8211.990234,1
90,2017,04-sep,17,18,8071.373218,8078.448242,1
91,2017,04-sep,18,19,7786.794368,7907.166992,1
92,2017,04-sep,19,20,7507.609471,7521.803711,1
93,2017,04-sep,20,21,7889.567967,7621.358398,1
94,2017,04-sep,21,22,7861.159906,7962.287109,1
95,2017,04-sep,22,23,7682.804993,7695.704102,1
96,2017,04-sep,23,24,7324.198272,7666.272461,1
97,2017,05-sep,0,1,6862.726635,7049.429199,1
98,2017,05-sep,1,2,6695.890878,6712.568359,1
99,2017,05-sep,2,3,6505.227678,6661.506348,1
100,2017,05-sep,3,4,6483.619702,6533.61084,1
101,2017,05-sep,4,5,6514.137323,6556.078613,1
102,2017,05-sep,5,6,6569.23043,6573.383789,1
103,2017,05-sep,6,7,6964.83111,6657.460938,1
104,2017,05-sep,7,8,7427.948038,7181.884766,1
105,2017,05-sep,8,9,7620.679056,7417.657227,1
106,2017,05-sep,9,10,7923.023659,7828.816406,1
107,2017,05-sep,10,11,8013.203091,8022.060547,1
108,2017,05-sep,11,12,8012.345147,7995.110352,1
109,2017,05-sep,12,13,8030.343936,7932.338867,1
110,2017,05-sep,13,14,8095.140073,8064.96875,1
111,2017,05-sep,14,15,8069.287481,7997.65625,1
112,2017,05-sep,15,16,8036.558306,8037.602539,1
113,2017,05-sep,16,17,8021.525023,8048.877441,1
114,2017,05-sep,17,18,7934.04254,7999.638672,1
115,2017,05-sep,18,19,7726.458309,7872.697754,1
116,2017,05-sep,19,20,7424.79018,7493.778809,1
117,2017,05-sep,20,21,7811.487691,7460.697266,1
118,2017,05-sep,21,22,7772.348596,7893.660156,1
119,2017,05-sep,22,23,7571.817489,7585.049316,1
120,2017,05-sep,23,24,7130.387013,7454.201172,1
121,2017,06-sep,0,1,6766.416382,6834.09375,1
122,2017,06-sep,1,2,6576.914574,6701.842773,1
123,2017,06-sep,2,3,6428.98284,6533.066406,1
124,2017,06-sep,3,4,6376.756329,6496.853516,1
125,2017,06-sep,4,5,6399.612176,6446.365234,1
126,2017,06-sep,5,6,6490.106075,6326.131836,1
