Hora,Demanda,,,03OCC   .CR-CARGA AREA           .AV
08-ene-19 00:00:00,7284.0517578125,,,1/8/19 0:00
08-ene-19 00:00:02,7287.10595703125,,,1/9/19 0:00
08-ene-19 00:00:04,7292.275390625,,,2 s
08-ene-19 00:00:06,7294.79296875,,,
08-ene-19 00:00:08,7298.662109375,,,
08-ene-19 00:00:10,7295.6435546875,,,
08-ene-19 00:00:12,7291.27880859375,,,
08-ene-19 00:00:14,7296.521484375,,,
08-ene-19 00:00:16,7295.80517578125,,,
08-ene-19 00:00:18,7299.30078125,,,
08-ene-19 00:00:20,7310.052734375,,,
08-ene-19 00:00:22,7305.5419921875,,,
08-ene-19 00:00:24,7296.982421875,,,
08-ene-19 00:00:26,7299.0556640625,,,
08-ene-19 00:00:28,7305.7919921875,,,
08-ene-19 00:00:30,7301.41162109375,,,
08-ene-19 00:00:32,7295.51318359375,,,
08-ene-19 00:00:34,7301.32275390625,,,
08-ene-19 00:00:36,7297.224609375,,,
08-ene-19 00:00:38,7291.6728515625,,,
08-ene-19 00:00:40,7290.11328125,,,
08-ene-19 00:00:42,7285.3701171875,,,
08-ene-19 00:00:44,7299.7685546875,,,
08-ene-19 00:00:46,7295.33837890625,,,
08-ene-19 00:00:48,7298.5791015625,,,
08-ene-19 00:00:50,7294.83837890625,,,
08-ene-19 00:00:52,7300.0439453125,,,
08-ene-19 00:00:54,7311.6689453125,,,
08-ene-19 00:00:56,7314.56591796875,,,
08-ene-19 00:00:58,7317.4248046875,,,
08-ene-19 00:01:00,7316.82421875,,,
08-ene-19 00:01:02,7312.6142578125,,,
08-ene-19 00:01:04,7326.6494140625,,,
08-ene-19 00:01:06,7323.908203125,,,
08-ene-19 00:01:08,7320.87109375,,,
08-ene-19 00:01:10,7322.849609375,,,
08-ene-19 00:01:12,7327.14111328125,,,
08-ene-19 00:01:14,7320.58740234375,,,
08-ene-19 00:01:16,7327.8583984375,,,
08-ene-19 00:01:18,7324.0888671875,,,
08-ene-19 00:01:20,7322.068359375,,,
08-ene-19 00:01:22,7326.64990234375,,,
08-ene-19 00:01:24,7328.9697265625,,,
08-ene-19 00:01:26,7333.74609375,,,
08-ene-19 00:01:28,7322.68505859375,,,
08-ene-19 00:01:30,7326.318359375,,,
08-ene-19 00:01:32,7319.87548828125,,,
08-ene-19 00:01:34,7308.484375,,,
08-ene-19 00:01:36,7314.275390625,,,
08-ene-19 00:01:38,7322.72412109375,,,
08-ene-19 00:01:40,7339.5947265625,,,
08-ene-19 00:01:42,7338.583984375,,,
08-ene-19 00:01:44,7331.93994140625,,,
08-ene-19 00:01:46,7334.310546875,,,
08-ene-19 00:01:48,7327.166015625,,,
08-ene-19 00:01:50,7330.8896484375,,,
08-ene-19 00:01:52,7331.8037109375,,,
08-ene-19 00:01:54,7334.435546875,,,
08-ene-19 00:01:56,7330.66455078125,,,
08-ene-19 00:01:58,7334.15966796875,,,
08-ene-19 00:02:00,7328.98095703125,,,
08-ene-19 00:02:02,7335.919921875,,,
08-ene-19 00:02:04,7327.1591796875,,,
08-ene-19 00:02:06,7318.92236328125,,,
08-ene-19 00:02:08,7331.748046875,,,
08-ene-19 00:02:10,7360.35009765625,,,
08-ene-19 00:02:12,7350.4423828125,,,
08-ene-19 00:02:14,7348.8515625,,,
08-ene-19 00:02:16,7344.35302734375,,,
08-ene-19 00:02:18,7337.203125,,,
08-ene-19 00:02:20,7339.8701171875,,,
08-ene-19 00:02:22,7342.17724609375,,,
08-ene-19 00:02:24,7330.71044921875,,,
08-ene-19 00:02:26,7321.2822265625,,,
08-ene-19 00:02:28,7319.189453125,,,
08-ene-19 00:02:30,7318.2734375,,,
08-ene-19 00:02:32,7323.34765625,,,
08-ene-19 00:02:34,7327.5615234375,,,
08-ene-19 00:02:36,7319.38916015625,,,
08-ene-19 00:02:38,7321.01904296875,,,
08-ene-19 00:02:40,7317.7822265625,,,
08-ene-19 00:02:42,7315.708984375,,,
08-ene-19 00:02:44,7325.70556640625,,,
08-ene-19 00:02:46,7328.150390625,,,
08-ene-19 00:02:48,7326.7763671875,,,
08-ene-19 00:02:50,7316.7392578125,,,
08-ene-19 00:02:52,7316.326171875,,,
08-ene-19 00:02:54,7307.5,,,
08-ene-19 00:02:56,7308.18408203125,,,
08-ene-19 00:02:58,7316.70556640625,,,
08-ene-19 00:03:00,7310.7666015625,,,
08-ene-19 00:03:02,7309.3818359375,,,
08-ene-19 00:03:04,7323.060546875,,,
08-ene-19 00:03:06,7325.7802734375,,,
08-ene-19 00:03:08,7312.5087890625,,,
08-ene-19 00:03:10,7316.77490234375,,,
08-ene-19 00:03:12,7317.33203125,,,
08-ene-19 00:03:14,7312.3125,,,
08-ene-19 00:03:16,7309.0419921875,,,
08-ene-19 00:03:18,7304.6162109375,,,
08-ene-19 00:03:20,7297.1015625,,,
08-ene-19 00:03:22,7297.525390625,,,
08-ene-19 00:03:24,7297.8115234375,,,
08-ene-19 00:03:26,7295.59912109375,,,
08-ene-19 00:03:28,7281.17822265625,,,
08-ene-19 00:03:30,7272.4208984375,,,
08-ene-19 00:03:32,7270.30078125,,,
08-ene-19 00:03:34,7266.1708984375,,,
08-ene-19 00:03:36,7268.02392578125,,,
08-ene-19 00:03:38,7260.18359375,,,
08-ene-19 00:03:40,7263.93603515625,,,
08-ene-19 00:03:42,7259.052734375,,,
